country_code,country_name,region,topic_group,avg_interest,n_queries
US,United States,Washington,spanking,70,3
US,United States,Washington,impact_play,47,1
US,United States,Washington,domestic_discipline,23,1
US,United States,Washington,adult_corporal_punishment,NA,1
US,United States,West Virginia,bdsm_general,98,1
US,United States,West Virginia,spanking,95,3
US,United States,West Virginia,otk,71,1
US,United States,West Virginia,impact_play,46,1
US,United States,West Virginia,adult_corporal_punishment,NA,1
US,United States,West Virginia,domestic_discipline,NA,1
US,United States,Wisconsin,bdsm_general,91,1
US,United States,Wisconsin,otk,83,1
US,United States,Wisconsin,spanking,73,3
US,United States,Wisconsin,impact_play,38,1
US,United States,Wisconsin,domestic_discipline,14,1
US,United States,Wisconsin,adult_corporal_punishment,NA,1
US,United States,Wyoming,domestic_discipline,100,1
US,United States,Wyoming,impact_play,100,1
US,United States,Wyoming,spanking,100,3
US,United States,Wyoming,bdsm_general,89,1
US,United States,Wyoming,otk,52,1
US,United States,Wyoming,adult_corporal_punishment,NA,1
