country_code,country_name,date,topic_group,avg_interest,n_rows
GB,United Kingdom,2025-10-05,spanking,27.333333333333332,3
GB,United Kingdom,2025-10-05,otk,25,1
GB,United Kingdom,2025-10-05,impact_play,2,1
GB,United Kingdom,2025-10-05,adult_corporal_punishment,0,1
GB,United Kingdom,2025-10-05,domestic_discipline,0,1
GB,United Kingdom,2025-10-12,bdsm_general,79,1
GB,United Kingdom,2025-10-12,otk,33,1
GB,United Kingdom,2025-10-12,spanking,26.333333333333332,3
GB,United Kingdom,2025-10-12,impact_play,2,1
GB,United Kingdom,2025-10-12,adult_corporal_punishment,0,1
GB,United Kingdom,2025-10-12,domestic_discipline,0,1
GB,United Kingdom,2025-10-19,bdsm_general,74,1
GB,United Kingdom,2025-10-19,otk,34,1
GB,United Kingdom,2025-10-19,spanking,27,3
GB,United Kingdom,2025-10-19,impact_play,1,1
GB,United Kingdom,2025-10-19,adult_corporal_punishment,0,1
GB,United Kingdom,2025-10-19,domestic_discipline,0,1
GB,United Kingdom,2025-10-26,otk,100,1
GB,United Kingdom,2025-10-26,bdsm_general,72,1
GB,United Kingdom,2025-10-26,spanking,59.666666666666664,3
GB,United Kingdom,2025-10-26,impact_play,2,1
GB,United Kingdom,2025-10-26,adult_corporal_punishment,0,1
GB,United Kingdom,2025-10-26,domestic_discipline,0,1
GB,United Kingdom,2025-11-02,bdsm_general,78,1
GB,United Kingdom,2025-11-02,otk,38,1
GB,United Kingdom,2025-11-02,spanking,27.333333333333332,3
GB,United Kingdom,2025-11-02,impact_play,3,1
GB,United Kingdom,2025-11-02,adult_corporal_punishment,0,1
GB,United Kingdom,2025-11-02,domestic_discipline,0,1
GB,United Kingdom,2025-11-09,bdsm_general,70,1
GB,United Kingdom,2025-11-09,spanking,25.666666666666668,3
GB,United Kingdom,2025-11-09,otk,24,1
GB,United Kingdom,2025-11-09,impact_play,3,1
GB,United Kingdom,2025-11-09,adult_corporal_punishment,0,1
GB,United Kingdom,2025-11-09,domestic_discipline,0,1
GB,United Kingdom,2025-11-16,bdsm_general,73,1
GB,United Kingdom,2025-11-16,otk,33,1
GB,United Kingdom,2025-11-16,spanking,22,3
GB,United Kingdom,2025-11-16,impact_play,3,1
GB,United Kingdom,2025-11-16,adult_corporal_punishment,0,1
GB,United Kingdom,2025-11-16,domestic_discipline,0,1
GB,United Kingdom,2025-11-23,bdsm_general,73,1
GB,United Kingdom,2025-11-23,otk,29,1
GB,United Kingdom,2025-11-23,spanking,22,3
GB,United Kingdom,2025-11-23,impact_play,4,1
GB,United Kingdom,2025-11-23,adult_corporal_punishment,0,1
GB,United Kingdom,2025-11-23,domestic_discipline,0,1
GB,United Kingdom,2025-11-30,bdsm_general,70,1
GB,United Kingdom,2025-11-30,spanking,25,3
GB,United Kingdom,2025-11-30,otk,21,1
GB,United Kingdom,2025-11-30,impact_play,5,1
GB,United Kingdom,2025-11-30,adult_corporal_punishment,0,1
GB,United Kingdom,2025-11-30,domestic_discipline,0,1
GB,United Kingdom,2025-12-07,bdsm_general,74,1
GB,United Kingdom,2025-12-07,otk,32,1
GB,United Kingdom,2025-12-07,spanking,25.333333333333332,3
GB,United Kingdom,2025-12-07,impact_play,6,1
GB,United Kingdom,2025-12-07,adult_corporal_punishment,0,1
GB,United Kingdom,2025-12-07,domestic_discipline,0,1
GB,United Kingdom,2025-12-14,bdsm_general,73,1
GB,United Kingdom,2025-12-14,otk,31,1
GB,United Kingdom,2025-12-14,spanking,26.333333333333332,3
GB,United Kingdom,2025-12-14,impact_play,3,1
GB,United Kingdom,2025-12-14,adult_corporal_punishment,0,1
