scrape_date,source,country_code,country_name,region,query_term,timeframe,interest_score,interest_score_raw,hits,keyword,geo,gprop
2026-04-11,google_trends_region,US,United States,South Dakota,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Tennessee,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Texas,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Utah,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Virginia,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Vermont,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Washington,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Wisconsin,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,West Virginia,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Connecticut,spanko,today 12-m,NA,NA,NA,spanko,US,web
2026-04-11,google_trends_region,US,United States,Wyoming,impact play,today 12-m,100,100,100,impact play,US,web
2026-04-11,google_trends_region,US,United States,Oklahoma,impact play,today 12-m,59,59,59,impact play,US,web
2026-04-11,google_trends_region,US,United States,Kansas,impact play,today 12-m,58,58,58,impact play,US,web
2026-04-11,google_trends_region,US,United States,Louisiana,impact play,today 12-m,58,58,58,impact play,US,web
2026-04-11,google_trends_region,US,United States,Alaska,impact play,today 12-m,58,58,58,impact play,US,web
2026-04-11,google_trends_region,US,United States,Mississippi,impact play,today 12-m,57,57,57,impact play,US,web
2026-04-11,google_trends_region,US,United States,California,impact play,today 12-m,54,54,54,impact play,US,web
2026-04-11,google_trends_region,US,United States,Georgia,impact play,today 12-m,52,52,52,impact play,US,web
2026-04-11,google_trends_region,US,United States,Texas,impact play,today 12-m,52,52,52,impact play,US,web
2026-04-11,google_trends_region,US,United States,New York,impact play,today 12-m,50,50,50,impact play,US,web
2026-04-11,google_trends_region,US,United States,Alabama,impact play,today 12-m,50,50,50,impact play,US,web
